match_id,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_tackles_won,away_tackles_won,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal
12970193,9,4,3,7,25,44,25,10,78%,75%,,,,
12970166,24,14,9,5,48,57,14,5,63%,86%,,,,
12970187,12,16,15,9,48,54,9,12,58%,75%,,,,
12970142,7,10,5,4,39,33,8,14,86%,80%,,,,
12970163,17,10,13,4,50,59,19,17,88%,80%,,,,
12970188,15,17,4,7,36,46,13,16,93%,59%,,,,
12970174,14,15,4,8,36,43,4,8,79%,73%,,,,
12970139,14,12,8,21,45,45,9,27,36%,75%,,,,
12970147,11,6,2,4,50,55,27,8,91%,83%,,,,
12970161,14,9,6,6,34,36,18,4,93%,78%,,,,
12970156,19,14,12,2,45,52,11,6,58%,71%,,,,
12375376,13,16,5,7,52,50,12,74,62%,50%,,,,
12375375,4,11,12,12,62,35,3,67,50%,64%,,,,
12378099,17,22,9,11,46,50,13,32,41%,59%,,,,
12774386,16,16,6,12,38,49,8,21,63%,69%,,,,
